epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.66,1.38661,2.22706,1.18401,0.2768,0.2042,0.08071,0.04451,1.56621,3.11881,1.2591,0.000332542,0.000332542,0.0670784
2,283.562,1.40458,1.92171,1.21331,0.51414,0.18204,0.14239,0.08146,1.52147,2.63401,1.25505,0.000665712,0.000665712,0.0340782
3,440.069,1.409,1.86441,1.2066,0.53264,0.2162,0.15998,0.09249,1.57246,2.61046,1.27437,0.000998232,0.000998232,0.00107741
4,579.203,1.36694,1.78972,1.18941,0.78785,0.18338,0.19235,0.11545,1.54187,2.2325,1.2424,0.000997803,0.000997803,0.000997803
5,711.489,1.3422,1.68077,1.18271,0.48747,0.26516,0.18005,0.10611,1.51805,2.33123,1.22749,0.000996097,0.000996097,0.000996097
6,844.354,1.32734,1.64309,1.17132,0.51432,0.21316,0.18117,0.11013,1.52819,2.51486,1.21572,0.000993906,0.000993906,0.000993906
7,1072.35,1.29477,1.56095,1.15488,0.62701,0.20478,0.21418,0.12722,1.53292,2.19393,1.2302,0.000991232,0.000991232,0.000991232
8,1203.83,1.27754,1.52281,1.14727,0.68916,0.15798,0.1794,0.1038,1.52301,3.08839,1.2238,0.000988079,0.000988079,0.000988079
9,1360.86,1.26879,1.47657,1.14178,0.55223,0.23661,0.20856,0.12638,1.51875,2.07934,1.22673,0.000984449,0.000984449,0.000984449
10,1508.29,1.26683,1.45913,1.14004,0.61862,0.2175,0.20874,0.12422,1.50175,2.30181,1.2214,0.000980345,0.000980345,0.000980345
11,1648.1,1.24907,1.42781,1.13482,0.5729,0.25538,0.23032,0.13365,1.49224,2.05818,1.21799,0.000975773,0.000975773,0.000975773
12,1802.28,1.23533,1.3967,1.12649,0.48193,0.23695,0.25096,0.15606,1.50733,2.2965,1.22367,0.000970736,0.000970736,0.000970736
13,1933.91,1.23372,1.37783,1.12155,0.45866,0.29026,0.25875,0.14774,1.52064,1.89607,1.21579,0.000965239,0.000965239,0.000965239
14,2395.37,1.21998,1.34564,1.11526,0.58453,0.23467,0.22976,0.13484,1.52667,2.15972,1.22034,0.000959289,0.000959289,0.000959289
15,2719.74,1.21304,1.30798,1.11335,0.50493,0.2761,0.26426,0.15954,1.50436,2.26639,1.21002,0.000952889,0.000952889,0.000952889
16,2847.77,1.21043,1.29643,1.1069,0.6051,0.23439,0.24296,0.14293,1.51182,2.11796,1.22427,0.000946048,0.000946048,0.000946048
17,2991.25,1.21164,1.26929,1.10345,0.54197,0.23363,0.2253,0.13437,1.50665,2.19479,1.21027,0.000938772,0.000938772,0.000938772
18,3224.68,1.18734,1.22655,1.10008,0.49991,0.2449,0.22186,0.13336,1.49621,2.33684,1.2099,0.000931067,0.000931067,0.000931067
19,3426.35,1.1819,1.22412,1.09412,0.47334,0.29085,0.24454,0.14553,1.50744,2.20492,1.21849,0.000922942,0.000922942,0.000922942
20,3557.94,1.18887,1.19264,1.09629,0.5743,0.20884,0.23079,0.13882,1.49681,2.27786,1.21728,0.000914405,0.000914405,0.000914405
21,3698.16,1.1833,1.18079,1.09359,0.42617,0.32524,0.25532,0.15483,1.49694,2.10118,1.20459,0.000905463,0.000905463,0.000905463
22,3820.32,1.1732,1.16389,1.08844,0.46261,0.27862,0.23622,0.13856,1.50374,2.22069,1.20897,0.000896127,0.000896127,0.000896127
23,4076.31,1.17211,1.15529,1.09218,0.4595,0.24869,0.26318,0.16837,1.51607,2.54547,1.22719,0.000886404,0.000886404,0.000886404
24,4241.24,1.15287,1.12422,1.08351,0.48079,0.29436,0.26772,0.16158,1.49935,2.01202,1.21234,0.000876305,0.000876305,0.000876305
25,4364.2,1.16882,1.11929,1.08309,0.46868,0.26879,0.27546,0.1775,1.51496,2.15587,1.2142,0.000865839,0.000865839,0.000865839
